title,date_or_period,author_or_creator,description_or_abstract,url_to_original_object,manuscript_id_or_shelfmark,material,dimensions,trove_category,trove_record_type,trove_id,trove_url
TURKEY AND ARMENIA. PRETEXT FOR FRESH MASSACRES. (Reuter.),1918-03-16,,"A Turkish report which states that there was severe fighting with the Armenians, who set Erzroum on fire is regarded as a warning of fresh",https://nla.gov.au/nla.news-article241733666?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,241733666,https://nla.gov.au/nla.news-article241733666?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"MASSACRE OF ARMENIANS. FEARFUL ATROUITIES BY TURKS. ATHENS, Monday.",1915-08-03,,Ghastly details have been received of massacres of Armenians by the Turks. Six hundred Armenians at Marsovan who were accused of,https://nla.gov.au/nla.news-article120396980?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,120396980,https://nla.gov.au/nla.news-article120396980?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"RISINGS IN TURKEY. MASSACRES FEARED. LONDON, Thursday.",1919-04-19,,"Revolutionary conditions prevail in Turkey, and it is feared now that they will be attended by massacres of Armenians.",https://nla.gov.au/nla.news-article20359945?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,20359945,https://nla.gov.au/nla.news-article20359945?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"MASSACRE OF ARMENIANS. SUPREME COUNCIL TAKES ACTION. LONDON, Thursday.",1920-03-01,,The official Peace Conference discussed the reported massacres of Armenians in Gilicia and measures were concerted to deal immediately with,https://nla.gov.au/nla.news-article173954045?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,173954045,https://nla.gov.au/nla.news-article173954045?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"THE ARMENIAN ATROCITIES. TURKS LAY SIEGE TO MOUSA DAGH. KEPT AT BAY FOR 53 DAYS. THEN RESCUED BY THE FRENCH FLEET. STORY TOLD BY AN ARMENIAN GRADUATE. CAIRO, 3rd November.",1915-12-08,,"From time to time there arrived at Port Said or Alexandria, the ports of Egypt, bands of Armenians, rescued from the eastern shores of the Mediterranean Sea",https://nla.gov.au/nla.news-article154915981?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,154915981,https://nla.gov.au/nla.news-article154915981?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"Massacre of Armenians. Resumed with Vigour. WASHINGTON, October 12.",1915-10-13,,The State Department has learnt that the massacres of Armenians have been resumed with vigour since Bulgaria's entrance into the war.,https://nla.gov.au/nla.news-article176915386?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,176915386,https://nla.gov.au/nla.news-article176915386?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
WIPING OUT THE ARMENIAN TURKISH BARBARITY. AMERICAN EVIDENCE. LONDON Tuesday.,1916-01-05,,"""The Times"" correspondent at Cairo states that American women relief-workers describe further Armenian atrocities.",https://nla.gov.au/nla.news-article109945311?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,109945311,https://nla.gov.au/nla.news-article109945311?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"MASSACRES OF ARMENIANS CONTINUE London, February 18",1920-02-21,,A telegram from Athens states that Turkish and Kurdish outrages upon Armenians continue. According to latest news 8000 people were,https://nla.gov.au/nla.news-article75272725?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,75272725,https://nla.gov.au/nla.news-article75272725?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"Massacre of Armenians. RESUMED WITH VIGOUR. WASHINGTON, October 12.",1915-10-15,,The State Department has learnt that the massacres of Armenians have been resumed with vigour since Bulgaria's entrance into the war.,https://nla.gov.au/nla.news-article181475733?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,181475733,https://nla.gov.au/nla.news-article181475733?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"PALESTINE JEWS. VICTIMS OF TURKISH ATROCITIES. LONDON, Thursday.",1917-05-04,,"The ""Jewish Chronicle"" states that it learns on reliable authority that many thous-ands of Jews in palestine are starving with-out the possibility of obtaining food or",https://nla.gov.au/nla.news-article122676863?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,122676863,https://nla.gov.au/nla.news-article122676863?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
